Date	Customer ID	Rgn	Item	Sum of angels	Punching holes	Surface treatment	Open	Weight	Strip thickness	Tolerance	Steel grade	Meters	Revenue	Raw material cost	Total costs
04.01.2018	441652	DE	SECTION_0218400-2	841,000		X	X	21.155,750	2	4	FVZ	7.000,000	28.899,78	15.565,30	24.823,54
04.01.2018	441652	DE	SECTION_0218400-2	841,000		X	X	21.155,750	2	4	FVZ	7.000,000	28.899,78	15.565,30	24.823,54
04.01.2018	441652	DE	SECTION_0218400-2	841,000		X	X	21.155,750	2	4	FVZ	7.000,000	28.899,78	15.565,30	24.823,54
04.01.2018	441652	DE	SECTION_0218400-2	841,000		X	X	21.155,750	2	4	FVZ	7.000,000	28.899,78	15.565,30	24.823,54
04.01.2018	441652	DE	SECTION_0218400-2	841,000		X	X	21.155,750	2	4	FVZ	7.000,000	28.899,78	15.565,30	24.823,54
04.01.2018	441652	DE	SECTION_0218400-2	841,000		X	X	21.155,750	2	4	FVZ	7.000,000	28.899,78	15.565,30	24.823,54
04.01.2018	441652	DE	SECTION_0218400-2	841,000		X	X	21.155,750	2	4	FVZ	7.000,000	28.899,78	15.565,30	24.823,54
05.01.2018	4412645	DE	SECTION_0015465-2	360,000		X	X	12.205,500	2	4	CRNI	5.000,000	51.755,10	0,00	6.556,85
05.01.2018	4412645	DE	SECTION_0015465-2	360,000		X	X	12.205,500	2	4	CRNI	5.000,000	51.755,10	0,00	6.556,85
05.01.2018	44192844	PL	SECTION_0010015-2.5	360,000			X	5.063,250	2,5	4	WB	3.000,000	10.629,45	3.133,10	6.033,84
05.01.2018	4441591	ES	SECTION_0010575-1.5	947,000	X	X		36.119,813	1,5	4	FVZ	15.000,000	54.841,80	27.221,25	44.275,27
05.01.2018	4441591	ES	SECTION_0010575-1.5	947,000	X	X		36.119,813	1,5	4	FVZ	15.000,000	54.841,80	27.221,25	44.275,27
05.01.2018	4441591	ES	SECTION_0010576-1.5	1.307,000	X	X		46.099,125	1,5	4	FVZ	15.000,000	73.481,85	36.990,33	59.594,76
05.01.2018	4441591	ES	SECTION_0010576-1.5	1.307,000	X	X		46.099,125	1,5	4	FVZ	15.000,000	73.481,85	36.990,33	59.594,76
05.01.2018	4445871	NL	SECTION_0201142-1.25	540,000				3.199,500	1,25	1	CRNI	3.000,000	18.012,85	3.781,79	11.029,99
05.01.2018	4445871	NL	SECTION_0201142-1.25	540,000				3.199,500	1,25	1	CRNI	3.000,000	18.012,85	3.781,79	11.029,99
05.01.2018	4445871	NL	SECTION_0201142-1.25	540,000				3.199,500	1,25	1	CRNI	3.000,000	18.012,85	3.781,79	11.029,99
05.01.2018	44524464	DE	SECTION_0011488-1	1.188,000			X	3.616,562	1	4	KB	4.539,000	12.162,21	2.575,94	8.553,59
05.01.2018	44524464	DE	SECTION_0011488-1	1.188,000			X	3.616,562	1	4	KB	4.539,000	12.172,89	2.575,94	8.553,59
05.01.2018	44524464	DE	SECTION_0011488-1	1.188,000			X	3.616,562	1	4	KB	4.539,000	12.243,18	2.575,94	8.553,59
05.01.2018	4414551	DE	SECTION_0225029-1	360,000			X	672,172	1	4	CRNI	5.005,000	7.005,72	806,26	4.514,96
05.01.2018	4414251	DE	SECTION_0205501-2.5	720,000	X		X	96.712,000	2,5	4	WB	22.000,000	111.388,42	60.589,63	82.533,95
05.01.2018	4414251	DE	SECTION_0205501-2.5	720,000	X		X	96.712,000	2,5	4	WB	22.000,000	111.388,42	60.589,63	82.533,95
05.01.2018	4414251	DE	SECTION_0205501-2.5	720,000	X		X	96.712,000	2,5	4	WB	22.000,000	111.388,42	60.589,63	82.533,95
05.01.2018	4414251	DE	SECTION_0205501-2.5	720,000	X		X	96.712,000	2,5	4	WB	22.000,000	111.388,42	60.589,63	82.533,95
05.01.2018	4414251	DE	SECTION_0205501-2.5	720,000	X		X	96.712,000	2,5	4	WB	22.000,000	111.388,42	60.589,63	82.533,95
05.01.2018	4414251	DE	SECTION_0205501-2.5	720,000	X		X	96.712,000	2,5	4	WB	22.000,000	111.388,42	60.589,63	82.533,95
26.02.2018	4441845	SI	SECTION_0219410-4	360,000			X	12.858,300	4	4	WB	3.000,000	23.538,84	8.395,00	16.992,11
26.02.2018	4412816	SE	SECTION_0014671-2_001	360,000	X		X	14.051,500	2	1	WB	5.000,000	21.875,10	9.246,06	17.310,47
26.02.2018	4441845	SI	SECTION_0219840-4	528,000				28.683,900	4	4	WB	3.500,000	54.312,90	18.726,81	36.581,82
26.02.2018	443958	TR	SECTION_0014905-1.5	90,000			X	4.615,800	1,5	4	KB	8.000,000	8.216,00	3.267,33	6.838,20
26.02.2018	44144915	GR	SECTION_0011452-4.5	360,000			X	43.626,375	4,5	4	WB	5.000,000	48.012,25	28.482,79	39.008,01
26.02.2018	44144915	GR	SECTION_0011452-4.5	360,000			X	43.626,375	4,5	4	WB	5.000,000	48.012,25	28.482,79	39.008,01
26.02.2018	44144915	GR	SECTION_0012515-6.5	360,000			X	63.878,198	6,5	4	WB	3.900,000	73.136,78	41.706,04	56.700,40
26.02.2018	44144915	GR	SECTION_0012515-6.5	360,000			X	63.878,198	6,5	4	WB	3.900,000	73.136,78	41.706,04	56.700,40
26.02.2018	443987	AT	SECTION_0218720-1.5	1.110,000	X	X		19.845,000	1,5	4	ALU	25.000,000	179.339,88	0,21	57.103,52
26.02.2018	443987	AT	SECTION_0218720-1.5	1.110,000	X	X		19.845,000	1,5	4	ALU	25.000,000	178.207,83	0,21	55.724,56
26.02.2018	443987	AT	SECTION_0218720-1.5	1.110,000	X	X		19.845,000	1,5	4	ALU	25.000,000	183.005,70	0,21	58.791,32
26.02.2018	443987	AT	SECTION_0218720-1.5	1.110,000	X	X		19.845,000	1,5	4	ALU	25.000,000	203.749,47	0,21	63.560,55
26.02.2018	443987	AT	SECTION_0218720-1.5	1.110,000	X	X		19.845,000	1,5	4	ALU	25.000,000	204.116,25	0,21	67.127,78
26.02.2018	443987	AT	SECTION_0218720-1.5	1.110,000	X	X		19.845,000	1,5	4	ALU	25.000,000	235.747,08	0,21	87.841,09
26.02.2018	443987	AT	SECTION_0218720-1.5	1.110,000	X	X		19.845,000	1,5	4	ALU	25.000,000	218.189,29	0,21	76.377,10
26.02.2018	443987	AT	SECTION_0218720-1.5	1.110,000	X	X		19.845,000	1,5	4	ALU	25.000,000	206.890,64	0,21	69.502,30
26.02.2018	443987	AT	SECTION_0218720-1.5	1.110,000	X	X		19.845,000	1,5	4	ALU	25.000,000	204.286,49	0,21	64.932,95
17.09.2018	441646	DE	SECTION_0012425-1	2.009,000		X	X	10.126,500	1	4	FVZ	5.000,000	24.391,25	8.132,11	16.722,89
17.09.2018	44571844	NL	SECTION_0011290-2.75	360,000			X	14.960,138	2,75	4	FVZ	6.000,000	23.415,60	11.688,30	19.329,53
17.09.2018	44126446	FR	SECTION_0202941-1.5_002	1.652,000		X		42.565,000	1,5	4	FVZ	5.000,000	123.907,55	45.049,62	96.419,30
17.09.2018	44126446	FR	SECTION_0202941-1.5_005	1.652,000		X		42.565,000	1,5	4	FVZ	5.000,000	123.907,55	45.049,62	96.419,30
29.01.2018	443945	AT	SERVICE_01714	0,000									0,00	0,00	0,00
29.01.2018	443945	AT	SERVICE_01714	0,000									0,00	0,00	0,00
29.01.2018	443945	AT	SERVICE_00111	0,000									85,55	0,00	0,00
29.01.2018	443945	AT	SERVICE_00111	0,000									883,22	0,00	0,00
26.02.2018	443945	AT	SERVICE_00812	0,000									963,38	0,00	0,00
26.02.2018	443945	AT	SERVICE_00812	0,000									0,00	0,00	0,00
08.01.2018	44144919	SE	SECTION_001703-2	180,000		X	X	2.156,700	2	4	CRNI	3.000,000	11.237,98	0,00	3.025,98
08.01.2018	63444	FR	SECTION_0220984-2	540,000				41.448,000	2	4	WB	10.000,000	53.591,89	25.774,02	41.342,97
08.01.2018	63444	FR	SECTION_0220984-2	540,000				41.448,000	2	4	WB	10.000,000	53.641,48	25.774,02	41.335,59
08.01.2018	63444	FR	SECTION_0220984-2	540,000				41.448,000	2	4	WB	10.000,000	52.451,57	25.774,02	40.459,71
08.01.2018	63444	FR	SECTION_0220984-2	540,000				41.448,000	2	4	WB	10.000,000	52.479,00	25.774,02	40.444,08
08.01.2018	63444	FR	SECTION_0220984-2	540,000				41.448,000	2	4	WB	10.000,000	51.223,83	25.774,02	39.870,85
08.01.2018	63444	FR	SECTION_0220984-2	540,000				41.448,000	2	4	WB	10.000,000	51.225,67	25.774,02	39.870,85
08.01.2018	63444	FR	SECTION_0220984-2	540,000				41.448,000	2	4	WB	10.000,000	51.192,97	25.774,02	39.870,85
08.01.2018	63444	FR	SECTION_0220984-2	540,000				41.448,000	2	4	WB	10.000,000	51.143,15	25.774,02	39.870,85
08.01.2018	63444	FR	SECTION_0220984-2	540,000				41.448,000	2	4	WB	10.000,000	51.164,29	25.774,02	39.870,85
08.01.2018	63444	FR	SECTION_0220984-2	540,000				41.448,000	2	4	WB	10.000,000	51.141,43	25.774,02	39.870,85
08.01.2018	63444	FR	SECTION_0220984-2	540,000				41.448,000	2	4	WB	10.000,000	51.184,76	25.774,02	39.870,85
08.01.2018	63444	FR	SECTION_0220984-2	540,000				41.448,000	2	4	WB	10.000,000	51.310,92	25.774,02	36.513,10
08.01.2018	63444	FR	SECTION_0220984-2	540,000				41.448,000	2	4	WB	10.000,000	51.072,62	25.774,02	36.513,10
08.01.2018	63444	FR	SECTION_0220984-2	540,000				41.448,000	2	4	WB	10.000,000	51.040,46	25.774,02	36.513,10
08.01.2018	63444	FR	SECTION_0220984-2	540,000				41.448,000	2	4	WB	10.000,000	51.966,21	25.774,02	36.513,10
08.01.2018	4414592	DE	SECTION_0010168-1.5_001	360,000		X		30.475,000	1,5	4	FVZ	25.000,000	39.026,00	23.023,84	33.869,52
08.01.2018	4414592	DE	SECTION_0010168-1.5_002	360,000		X		30.475,000	1,5	4	FVZ	25.000,000	39.026,00	23.023,84	33.869,52
08.01.2018	4414592	DE	SECTION_0010168-1.5_004	360,000		X		30.475,000	1,5	4	FVZ	25.000,000	39.026,00	23.023,84	33.869,52
08.01.2018	4421994	DE	SECTION_0017574-1.25	465,000		X	X	2.893,118	1,25	4	FVZ	0,000	6.908,34	2.185,41	5.913,23
11.01.2018	671944	DE	SERVICE_0004190-4_002	0,000									44.953,60	13.360,55	26.257,50
08.01.2018	443817	IT	SECTION_0014165-1.5	540,000			X	19.782,000	1,5	4	FVZ	10.000,000	27.420,90	14.405,08	20.125,61
08.01.2018	4426951	HU	SECTION_0011719-5	180,000			X	13.305,750	5	4	WB	3.000,000	17.407,65	8.273,18	14.400,84
08.01.2018	4414546	FR	SECTION_0219918-4	523,000				48.654,300	4	4	WB	3.000,000	78.257,40	31.766,22	46.749,40
08.01.2018	4414546	FR	SECTION_0219918-4	523,000				48.654,300	4	4	WB	3.000,000	78.257,40	31.766,22	46.749,40
08.01.2018	4414546	FR	SECTION_0219918-4	523,000				48.654,300	4	4	WB	3.000,000	78.257,40	31.766,22	46.749,40
08.01.2018	4414546	FR	SECTION_0219918-4	523,000				48.654,300	4	4	WB	3.000,000	78.257,40	31.766,22	46.749,40
08.01.2018	4414546	FR	SECTION_0219918-4	523,000				48.654,300	4	4	WB	3.000,000	78.257,40	31.766,22	46.749,40
08.01.2018	44164	GB	SECTION_0015761-1.25	809,000		X		4.737,966	1,25	4	FVZ	2.175,000	23.052,04	3.790,01	12.758,17
08.01.2018	4414546	FR	SECTION_0006175-4	360,000				54.008,000	4	4	WB	4.000,000	72.547,28	35.020,93	48.199,08
08.01.2018	4414546	FR	SECTION_0006175-4	360,000				54.008,000	4	4	WB	4.000,000	72.547,28	35.020,93	48.199,08
08.01.2018	4414546	FR	SECTION_0006175-4	360,000				54.008,000	4	4	WB	4.000,000	72.547,28	35.020,93	48.199,08
08.01.2018	4414546	FR	SECTION_0006175-4	360,000				54.008,000	4	4	WB	4.000,000	72.547,28	35.020,93	48.199,08
08.01.2018	4414546	FR	SECTION_0006175-4	360,000				54.008,000	4	4	WB	4.000,000	72.054,32	35.020,93	47.787,08
08.01.2018	44144467	DE	SECTION_0215900-5	360,000	X		X	66.729,906	5	4	FVZ	4.690,000	96.669,76	52.972,67	68.031,57
08.01.2018	441673	DE	SECTION_0216826-1.5	900,000			X	8.313,150	1,5	4	FVZ	4.000,000	16.760,64	4.709,79	10.680,21
08.01.2018	441673	DE	SECTION_0216826-1.5	900,000			X	8.366,100	1,5	4	CRNI	4.000,000	35.405,54	9.452,68	17.237,37
29.01.2018	44598447	DE	SECTION_021375-2	180,000			X	3.650,250	2	4	WB	5.000,000	7.856,55	2.489,01	6.364,13
29.01.2018	4462451	GR	SECTION_0017100-0.7	451,000			X	978,810	0,7	4	CRNI	10.000,000	12.837,50	1.310,15	6.631,52
29.01.2018	445381	PL	SECTION_0200882-4	270,000		X	X	21.901,500	3	4	KB	12.000,000	31.302,96	15.274,46	24.619,20
29.01.2018	44124471	BE	SECTION_021374-1.25	355,000			X	3.488,344	1,25	1	FVZ	9.000,000	8.965,71	2.739,54	7.045,97
29.01.2018	4418161	NL	SECTION_0009910-4_002	720,000				65.275,000	3	1	FVZ	35.000,000	74.406,15	47.348,78	80.197,22
29.01.2018	4418161	NL	SECTION_0009910-4_004	720,000				65.275,000	3	1	FVZ	35.000,000	74.406,15	47.348,78	74.904,96
29.01.2018	4418161	NL	SECTION_0009910-4_004	720,000				65.275,000	3	1	FVZ	35.000,000	74.406,15	47.348,78	74.904,96
29.01.2018	4418161	NL	SECTION_0009910-4_009	720,000				65.275,000	3	1	FVZ	35.000,000	74.406,15	47.348,78	72.571,45
29.01.2018	4418161	NL	SECTION_0009910-4_005	720,000				65.275,000	3	1	FVZ	35.000,000	74.406,15	47.348,78	74.904,96
29.01.2018	44144851	DE	SECTION_0015910-0.7	1.068,000	X		X	13.821,024	0,7	4	FVZ	9.600,000	40.028,35	11.547,16	35.195,77
29.01.2018	44144851	DE	SECTION_0015910-0.7	1.068,000	X		X	13.821,024	0,7	4	FVZ	9.600,000	39.338,21	11.547,16	28.650,99
29.01.2018	44144851	DE	SECTION_0015910-0.7	1.068,000	X		X	13.821,024	0,7	4	FVZ	9.600,000	39.338,21	11.547,16	28.650,99
29.01.2018	44353	IT	SECTION_0016601-1.2	720,000	X			111.909,600	1,2	4	FVZ	48.000,000	165.634,56	90.782,00	129.112,38
29.01.2018	44353	IT	SECTION_0016600-1.2	656,000	X			60.123,150	1,2	4	FVZ	23.000,000	95.428,84	48.776,53	73.251,19
29.01.2018	44353	IT	SECTION_0016600-1.2	656,000	X			60.123,150	1,2	4	FVZ	23.000,000	95.428,84	48.776,53	73.251,19
29.01.2018	44353	IT	SECTION_0209067-2	720,000			X	50.922,950	2	4	FVZ	13.000,000	59.411,95	37.548,39	49.205,66
29.01.2018	44353	IT	SECTION_0209069-2	720,000			X	58.757,250	2	4	FVZ	15.000,000	69.630,60	43.325,07	57.199,52
29.01.2018	44644571	FR	SECTION_0221478-1.5	540,000		X		8.972,550	1,5	4	FVZ	4.000,000	18.609,24	6.964,30	13.778,60
29.01.2018	44126441	GB	SECTION_0012417-1.25	2.809,000				32.719,781	1,25	4	FVZ	9.000,000	70.246,80	26.859,51	47.344,91
29.01.2018	44126441	GB	SECTION_0012417-1.25	2.809,000				32.719,781	1,25	4	FVZ	9.000,000	70.246,80	26.859,51	46.687,16
29.01.2018	44126441	GB	SECTION_0012417-1.25	2.809,000				32.719,781	1,25	4	FVZ	9.000,000	70.246,80	26.859,51	46.189,82
29.01.2018	44126441	GB	SECTION_0012417-1.25	2.809,000				32.719,781	1,25	4	FVZ	9.000,000	70.246,80	26.859,51	45.800,64
29.01.2018	44126441	GB	SECTION_0012417-1.25	2.809,000				32.719,781	1,25	4	FVZ	9.000,000	70.246,80	26.859,51	45.487,69
29.01.2018	44126441	GB	SECTION_0012417-1.25	2.809,000				32.719,781	1,25	4	FVZ	9.000,000	70.246,80	26.859,51	45.230,68
29.01.2018	44126441	GB	SECTION_0012417-1.25	2.809,000				32.719,781	1,25	4	FVZ	9.000,000	70.246,80	26.859,51	45.015,86
29.01.2018	44353	IT	SECTION_021534-1.2	540,000	X		X	13.960,440	1,2	1	FVZ	9.500,000	22.830,21	10.784,80	19.605,82
29.01.2018	4412912	ES	SECTION_0215528-1.5	360,000	X		X	30.202,875	1,5	4	FVZ	30.000,000	49.296,00	23.449,79	38.661,65
29.01.2018	4412912	ES	SECTION_0215528-1.5	360,000	X		X	30.202,875	1,5	4	FVZ	30.000,000	48.987,90	23.449,79	38.386,17
29.01.2018	4412912	ES	SECTION_0215528-1.5	360,000	X		X	30.202,875	1,5	4	FVZ	30.000,000	47.755,50	23.449,79	37.087,73
29.01.2018	4412912	ES	SECTION_0215528-1.5	360,000	X		X	30.202,875	1,5	4	FVZ	30.000,000	47.447,40	23.449,79	37.008,27
29.01.2018	4412912	ES	SECTION_0215528-1.5	360,000	X		X	30.202,875	1,5	4	FVZ	30.000,000	46.523,10	23.449,79	36.035,56
29.01.2018	4412912	ES	SECTION_0215528-1.5	360,000	X		X	30.202,875	1,5	4	FVZ	30.000,000	46.523,10	23.449,79	36.035,56
29.01.2018	4414249	DE	SECTION_0008746-4	918,000	X		X	62.478,150	3	4	FVZ	7.000,000	79.007,11	47.898,51	67.792,04
29.01.2018	4414249	DE	SECTION_0008746-4	918,000	X		X	62.478,150	3	1	FVZ	7.000,000	79.007,11	47.898,51	67.792,04
29.01.2018	4414249	DE	SECTION_0008746-4	918,000	X		X	62.478,150	3	1	FVZ	7.000,000	79.007,11	47.898,51	67.792,04
